Timestamp;DayOfWeek;TimeStamp_Count;Vent_HRVTempExhaustOut;Vent_HRVTempOutdoorin;Vent_HRVTempReturnIn;Vent_HRVTempSupplyOut;Vent_HRVfreshairpressuredifferential;Vent_HRVstaleairpressuredifferential
2013-07-01 00:01:14-04:00;Monday;1;24.71203961160374;23.144780239805197;22.552116726967263;23.75841516310542;;
2013-07-01 00:02:14-04:00;Monday;2;24.71051717974281;23.14329511947798;22.52365617519207;23.73748854636146;;
2013-07-01 00:03:14-04:00;Monday;3;24.691049395844193;23.14878728043347;22.53934522433946;23.74221741747876;;
2013-07-01 00:04:14-04:00;Monday;4;24.686120751784607;23.120120208642795;22.53955416568773;23.727526406673864;;
2013-07-01 00:05:14-04:00;Monday;5;24.68326536297206;23.179974571400447;22.506425181089455;23.70525847268042;;
2013-07-01 00:06:14-04:00;Monday;6;24.692976373275705;23.145231963017977;22.49138616418445;23.715522746484922;;
2013-07-01 00:07:14-04:00;Monday;7;24.697281592157715;23.122564502036695;22.526582611699943;23.697305041313825;;
2013-07-01 00:08:14-04:00;Monday;8;24.66961824500191;23.177424709335764;22.469212283827538;23.691278802364216;;
2013-07-01 00:09:14-04:00;Monday;9;24.65323070804987;23.182398137691827;22.46658775283149;23.667563880109903;;
2013-07-01 00:10:14-04:00;Monday;10;24.660424367852624;23.247236130307993;22.453474362026736;23.68870484506432;;
2013-07-01 00:11:14-04:00;Monday;11;24.643061496824853;23.22296879206797;22.42133667296279;23.69077116918516;;
2013-07-01 00:12:14-04:00;Monday;12;24.655453363397264;23.126885018658072;22.464743426334813;23.668858960575182;;
2013-07-01 00:13:14-04:00;Monday;13;24.645527876527687;23.10473958511055;22.407318649479286;23.679280809374742;;
2013-07-01 00:14:14-04:00;Monday;14;24.60080094076015;23.057733693709118;22.387264934487167;23.635649649925764;;
2013-07-01 00:15:14-04:00;Monday;15;24.620379953932982;22.990492200401683;22.384514981350748;23.64517863222058;;
2013-07-01 00:16:14-04:00;Monday;16;24.594007087846876;22.992145856806662;22.37177546668572;23.6039395764859;;
2013-07-01 00:17:14-04:00;Monday;17;24.59936045426364;23.0318166595471;22.35413987936072;23.613392773416386;;
2013-07-01 00:18:14-04:00;Monday;18;24.553469856017397;22.956441890778457;22.365583120181455;23.55354390902733;;
2013-07-01 00:19:14-04:00;Monday;19;24.552157942050847;22.97752656381769;22.33900830092118;23.565304837149817;;
2013-07-01 00:20:14-04:00;Monday;20;24.529373395038355;22.91552625121489;22.2991300831365;23.525086500668404;;
2013-07-01 00:21:14-04:00;Monday;21;24.53243388275343;22.97572409518048;22.322353687862396;23.5138619906669;;
2013-07-01 00:22:14-04:00;Monday;22;24.500532373012575;22.921651119672067;22.330689137764725;23.494118019153596;;
2013-07-01 00:23:14-04:00;Monday;23;24.51145997922576;22.945607246170987;22.332750640479347;23.49332143346793;;
2013-07-01 00:24:14-04:00;Monday;24;24.49557223325131;22.98651108822758;22.324305935956293;23.47122930579048;;
2013-07-01 00:25:14-04:00;Monday;25;24.466227921340337;23.025994270024466;22.336895600768447;23.491186811220068;;
2013-07-01 00:26:14-04:00;Monday;26;24.490899670523913;22.97856966874129;22.333534716089655;23.49302688046569;;
2013-07-01 00:27:14-04:00;Monday;27;24.495253623701103;23.01338406006743;22.352899860491075;23.520604394904954;;
2013-07-01 00:28:14-04:00;Monday;28;24.469251509532736;22.958440407321923;22.341193915666917;23.504160393580836;;
2013-07-01 00:29:14-04:00;Monday;29;24.45687571307322;22.971359256344734;22.346492225108236;23.499238437930163;;
2013-07-01 00:30:15-04:00;Monday;30;24.493817989452964;22.975774674328378;22.349912974888866;23.504770664641423;;
2013-07-01 00:31:15-04:00;Monday;31;24.449751350757722;23.022953712118067;22.380206346000964;23.501230524607127;;
2013-07-01 00:32:15-04:00;Monday;32;24.501849856827157;23.020957674257986;22.381730354654554;23.543352271431583;;
2013-07-01 00:33:15-04:00;Monday;33;24.472641595803264;23.051698393557245;22.346331196266807;23.520783546457235;;
2013-07-01 00:34:15-04:00;Monday;34;24.4759900572956;23.017963107358984;22.39383370386191;23.544301657878275;;
2013-07-01 00:35:15-04:00;Monday;35;24.495074449307538;23.01822774592338;22.40824821387483;23.55769251664115;;
2013-07-01 00:36:15-04:00;Monday;36;24.48497245398376;23.009197648716853;22.373044168437467;23.571646209488662;;
2013-07-01 00:37:15-04:00;Monday;37;24.48599311348224;22.985895031169427;22.394264513369848;23.52673250336754;;
2013-07-01 00:38:15-04:00;Monday;38;24.497313170815797;23.09881275435649;22.441512656120565;23.54709542113665;;
2013-07-01 00:39:15-04:00;Monday;39;24.517347580953846;23.0818144665888;22.40599638982693;23.554080879940305;;
2013-07-01 00:40:15-04:00;Monday;40;24.522982809729267;23.075834891321712;22.3824583381004;23.60581337921654;;
2013-07-01 00:41:15-04:00;Monday;41;24.512052226645363;23.121240291484778;22.3691454348096;23.57426480898271;;
2013-07-01 00:42:15-04:00;Monday;42;24.525227006378838;23.127020070840473;22.36517017466863;23.62165925226969;;
2013-07-01 00:43:15-04:00;Monday;43;24.516856022984374;23.19222254879319;22.39589740171604;23.59033777833828;;
2013-07-01 00:44:15-04:00;Monday;44;24.523412719393967;23.24552693236558;22.404866998274766;23.623916198376904;;
2013-07-01 00:45:15-04:00;Monday;45;24.54744900708968;23.17232398475372;22.404151341858828;23.663177810926086;;
2013-07-01 00:46:15-04:00;Monday;46;24.535244743115502;23.108357287570684;22.36917667346427;23.664286270600385;;
2013-07-01 00:47:15-04:00;Monday;47;24.542652253935355;23.09570888235218;22.351822009674024;23.65695812241111;;
2013-07-01 00:48:15-04:00;Monday;48;24.53693099632177;23.127097843739097;22.359156354476195;23.664336223415063;;
2013-07-01 00:49:15-04:00;Monday;49;24.540210132525967;23.088415216885757;22.356586109723413;23.638478327230057;;
